"","colourName","R","G","B","C","M","Y","K","SpotColour_UncoatedStocks","SpotColour_CoatedStocks","hex","myrgbfromcmyk","H","S","V"
"1","AccentBlue",1,72,164,100,61,0,0,"PMSW 2945U","PMS 2945C","#0148A4","#0063FF",0.594069529652352,0.99390243902439,0.643137254901961
"3","AccentGrey",241,241,241,0,0,0,10,"","","#F1F1F1","#E6E6E6",0,0,0.945098039215686
"5","AccentYellow",255,184,0,0,25,98,0,"PMS 121U","PMS 123C","#FFB800","#FFBF05",0.120261437908497,1,1
"7","MasterbrandBlack",10,10,10,0,0,0,100,"","","#0A0A0A","#000000",0,0,0.0392156862745098
"9","MasterbrandCharcoal",66,66,66,0,0,0,90,"","","#424242","#191919",0,0,0.258823529411765
"11","MasterbrandOchre",230,70,38,0,85,100,0,"PMS 7417C","PMS 7417C","#E64626","#FF2600",0.0277777777777778,0.834782608695652,0.901960784313726
"13","MasterbrandWhite",255,255,255,0,0,0,0,"","","#FFFFFF","#FFFFFF",0,0,1
"15","SecondaryBeige",253,202,144,0,23,47,0,"","","#FDCA90","#FFC487",0.0886850152905199,0.430830039525692,0.992156862745098
"17","SecondaryBlue",78,152,211,67,29,0,0,"","","#4E98D3","#54B5FF",0.573934837092732,0.630331753554502,0.827450980392157
"19","SecondaryDarkGreen",0,126,59,81,5,95,32,"","","#007E3B","#21A509",0.411375661375661,1,0.494117647058824
"21","SecondaryDarkSeafoam",0,164,133,81,11,61,0,"","","#00A485","#30E363",0.46849593495935,1,0.643137254901961
"23","SecondaryIvory",248,239,221,2,4,13,0,"","","#F8EFDD","#FAF5DE",0.111111111111111,0.108870967741935,0.972549019607843
"25","SecondaryLemon",251,243,141,3,0,56,0,"","","#FBF38D","#F7FF70",0.154545454545455,0.438247011952191,0.984313725490196
"27","SecondaryLightBlue",145,189,229,41,15,0,0,"","","#91BDE5","#96D9FF",0.579365079365079,0.366812227074236,0.898039215686275
"29","SecondaryLightGreen",189,220,150,28,0,53,0,"","","#BDDC96","#B8FF78",0.24047619047619,0.318181818181818,0.862745098039216
"31","SecondaryLightPink",248,185,204,0,34,4,0,"","","#F8B9CC","#FFA8F5",0.94973544973545,0.254032258064516,0.972549019607843
"33","SecondaryLightSeafoam",104,198,182,57,0,35,0,"","","#68C6B6","#6EFFA6",0.471631205673759,0.474747474747475,0.776470588235294
"35","SecondaryLilac",184,150,198,60,90,0,0,"","","#B896C6","#6619FF",0.784722222222222,0.242424242424242,0.776470588235294
"37","SecondaryMaroon",122,32,0,0,85,100,60,"","","#7A2000","#660F00",0.0437158469945355,1,0.47843137254902
"39","SecondaryOrange",249,161,52,0,43,90,0,"","","#F9A134","#FF9119",0.0922165820642978,0.791164658634538,0.976470588235294
"41","SecondaryPeach",247,156,114,0,47,56,0,"","","#F79C72","#FF8770",0.0526315789473684,0.538461538461538,0.968627450980392
"43","SecondaryPink",214,81,157,12,83,0,0,"","","#D6519D","#E02BFF",0.904761904761905,0.621495327102804,0.83921568627451
"45","SecondaryPurple",127,63,152,60,90,0,0,"","","#7F3F98","#6619FF",0.786516853932584,0.585526315789474,0.596078431372549
